Початок тривоги,Гео,Тривалість тривоги
2023-10-12 17:56:20+00:00,['вінниц'],36
2023-10-16 23:20:16+00:00,"['черноморск', 'заток', 'аккерман', 'шкільн', 'поскот', 'одесс', 'одес']",83
2023-10-22 21:58:16+00:00,"['заток', 'черноморск', 'одесс', 'школьн', 'одес', 'чорноморськ', 'шкільн', 'одесс', 'черноморск', 'одесс', 'черноморск', 'одесс']",48
2023-11-02 20:12:26+00:00,"['сарат', 'білгород', 'болград', 'кил', 'одесс', 'измаил', 'измаил', 'рен']",124
2023-11-05 18:56:32+00:00,"['одес', 'одес', 'заток', 'заток', 'білгород', 'каролин', 'бугаз', 'черноморск', 'центр', 'одесс', 'центр', 'одес', 'біляївк', 'одесс', 'беляевк', 'коблев', 'одесс', 'беляевк', 'одесс', 'фонтанк', 'фонтанк', 'коблев', 'одесс', 'одесс', 'одес', 'одес', 'аркад', 'коблев', 'рыбаковк', 'одесс', 'одесс', 'коблев', 'поскот', 'коблев', 'одесс', 'одесс', 'одесс']",120
2023-11-10 08:32:50+00:00,"['поскот', 'центр', 'приморськ', 'маяк']",215
2023-11-10 19:17:40+00:00,['чорноморськ'],47
2023-11-10 20:16:32+00:00,"['іванівк', 'одес', 'поскот']",59
2023-11-16 02:13:00+00:00,"['николаев', 'фонтанк', 'южн', 'черноморск', 'березовк']",142
2023-11-16 22:15:47+00:00,"['южн', 'поскот']",80
2023-11-17 22:39:45+00:00,"['одес', 'заток', 'одес', 'южн', 'фонтанк', 'поскот', 'білгород', 'чорноморськ', 'березівк']",106
2023-11-20 19:22:05+00:00,"['доброслав', 'одесс']",82
2023-11-21 21:38:12+00:00,['березівк'],81
2023-11-28 17:50:52+00:00,['березівк'],64
2023-11-29 18:15:49+00:00,"['рен', 'біляївк', 'курортн', 'заток', 'одес', 'білгород', 'заток', 'заток', 'білгород', 'чорноморськ']",108
2023-12-01 18:39:29+00:00,"['білгород', 'сарат', 'сергіївк', 'білгород', 'бугаз', 'одес']",67
2023-12-04 21:00:27+00:00,['березівк'],98
2023-12-05 18:34:35+00:00,"['южн', 'одес', 'очаків', 'одес', 'южн', 'поскот', 'одес', 'заток', 'одес']",129
2023-12-06 22:49:31+00:00,"['болград', 'ізмаїл', 'ізмаїл', 'рен', 'орлівк', 'рен', 'ізмаїл', 'орлівк', 'ізмаїл', 'рен', 'орлівк', 'ізмаїл']",104
2023-12-10 18:17:59+00:00,"['чорноморськ', 'одес', 'заток', 'чорноморськ', 'южн', 'коблев', 'чорноморськ', 'одес', 'лиманк', 'одес', 'очаків', 'очаків', 'чорноморськ', 'чорноморськ', 'одес', 'южн', 'коблев', 'сарат']",165
2023-12-11 17:30:57+00:00,"['березовк', 'одес', 'ширяєв', 'первомайськ', 'сарат', 'курортн', 'біляївк', 'маяк', 'одес', 'одес', 'заток', 'одес', 'поскот', 'латівк', 'білгород', 'одес', 'одес', 'чорноморськ', 'заток', 'поскот', 'одес', 'одес', 'заток', 'чорноморськ', 'одес']",166
2023-12-13 17:28:45+00:00,"['татарбунар', 'білгород', 'сарат', 'заток', 'сергіївк', 'чорноморськ', 'паланк', 'каролін', 'бугаз', 'одес', 'центр', 'одес', 'одес', 'одес', 'одес', 'білгород', 'приморськ', 'одес', 'заток', 'білгород', 'біляївк', 'маяк', 'южн', 'чорноморськ', 'хлібодарськ', 'школьн', 'молдаванк', 'одес', 'рен', 'одес', 'чорноморськ', 'білгород', 'кіл', 'ізмаїл', 'рен', 'курортн', 'орлівк', 'ізмаїл', 'татарбунар', 'рен', 'вилков', 'татарбунар', 'ізмаїл', 'орлівк', 'рен', 'рен', 'ізмаїл', 'одес', 'вилков', 'кіл']",428
2023-12-14 12:09:48+00:00,['рен'],49
2023-12-14 19:05:35+00:00,['кінбурнськ'],198
2023-12-16 20:57:04+00:00,"['фонтанк', 'одесс', 'ланжерон', 'центр', 'аркад', 'таиров', 'лебедівк', 'черноморск', 'одесс']",131
2023-12-19 16:56:28+00:00,"['очаков', 'лебедівк', 'заток', 'біляївк', 'паланк', 'сарат', 'сергіївк', 'одес', 'одес', 'одес']",197
2023-12-21 20:03:00+00:00,"['очаків', 'березівк']",94
2023-12-21 23:04:47+00:00,"['южн', 'біляр', 'фонтанк', 'поскот']",41
2023-12-22 16:11:51+00:00,"['татарбунар', 'южн', 'одесс', 'черноморск', 'беляевк', 'коблев', 'коблев', 'білгород', 'сарат', 'гидропорт']",108
2023-12-24 19:39:15+00:00,"['чабанк', 'фонтанк', 'одес', 'аркад', 'ланжерон', 'татарбунар', 'татарбунар', 'чорноморськ', 'лебедівк', 'білгород', 'маяк', 'хлібодарськ', 'таїров', 'одес']",118
2023-12-25 16:44:12+00:00,"['одес', 'чорноморськ', 'поскот', 'білгород', 'рибаківк', 'коблев', 'коблев', 'березівк', 'доброслав', 'одес']",108
2023-12-26 21:44:22+00:00,"['центр', 'поскот', 'сергіївк', 'рибаківк', 'ланжерон', 'одес', 'слободк']",77
2023-12-28 20:41:57+00:00,"['лебедівк', 'татарбунар', 'каролін', 'бугаз', 'чорноморськ', 'одес', 'одес', 'чорноморськ', 'одес', 'таїров', 'чорноморськ', 'центр', 'одес', 'одес', 'чорноморськ', 'одес', 'очаков']",189
2023-12-29 04:33:09+00:00,"['березівк', 'біляївк', 'великодолинськ', 'одес', 'одес']",178
